Quebra;Quebra2;Código;Descrição;Quantidade;Faturamento;Preço médio;Custo Total;Imposto Estadual;Imposto Federal;Lucro;Margem;Markup;Participação;Acumulado;Classificação;ICMS ST;Fecop ST
23/05/2026;;00000000010530;MACA  ARGENTINA KG;2,015;38,26;18,99;22,51;0,00;0,00;15,75;41,17;69,99;0,68;49,91;;;
23/05/2026;;00000000010531;MACA FUJI KG;0,545;7,62;13,98;4,02;0,00;0,00;3,60;47,22;89,45;0,16;50,06;;;
23/05/2026;;00000000010627;MACA GALA KG;22,475;202,05;8,99;155,21;0,00;0,00;46,84;23,18;30,18;2,02;52,08;;;
23/05/2026;;00000000002137;MACA GALA SC 850GR;26,000;130,64;5,02;107,58;0,00;0,00;23,06;17,65;21,44;0,99;53,08;;;
23/05/2026;;00000000010529;MACA VERDE KG;1,695;28,79;16,99;19,78;0,00;0,00;9,01;31,29;45,55;0,39;53,46;;;
23/05/2026;;00000000007657;MAMAO FORMOSA KG;2,207;13,22;5,99;6,62;0,00;0,00;6,60;49,92;99,67;0,28;53,75;;;
23/05/2026;;00000000005062;MAMAO PAPAIA UN.;22,000;98,78;4,49;79,31;0,00;0,00;19,47;19,71;24,55;0,84;54,59;;;
23/05/2026;;00000000010525;MANGA PALMER KG;27,545;164,97;5,99;124,30;0,00;0,00;40,67;24,65;32,72;1,75;56,34;;;
23/05/2026;;00000000010522;MARACUJA KG;36,330;290,31;7,99;186,65;0,00;0,00;103,66;35,71;55,53;4,47;60,81;;;
23/05/2026;;00000000004889;MELANCIA KG;17,253;65,39;3,79;47,20;0,00;0,00;18,19;27,82;38,53;0,78;61,60;;;
23/05/2026;;00000000010521;MELAO COMUM KG;5,754;29,87;5,19;23,75;0,00;0,00;6,12;20,50;25,78;0,26;61,86;;;
23/05/2026;;00000000009982;MELAO UNID;2,000;8,98;4,49;0,00;0,00;0,00;8,98;100,00;0,00;0,39;62,25;;;
